,0
866,CYP46A1
867,PIP4K2A
868,UROD
869,GLUD1
870,GALNT3
871,PMM2
872,AACS
873,ASAH1
874,B3GALNT1
875,LDHC
876,NAGS
877,TBXAS1
878,LIPC
879,ENTPD5
880,MCCC1
881,DBH
882,CYP7A1
883,PDE6A
884,IMPA2
885,PAFAH1B2
886,SRM
887,TPH1
888,ADH5
889,GPAM
890,TKTL1
891,SLC43A2
892,SEPHS1
893,DGKH
894,NMNAT2
895,ACSS2
896,HAAO
897,AMDHD2
898,TST
899,GYS1
900,B3GALT4
901,UQCRB
902,KMO
903,TKTL2
904,SLC24A2
905,PLA2G4A
906,ATP1A3
907,AADAT
908,SLC9A4
909,PDE7B
910,AHCYL2
911,SLC7A7
912,TK2
913,GPI
914,PIGQ
915,A4GNT
916,B3GNT7
917,SLC10A2
918,NDUFA1
919,UAP1L1
920,ACP1
921,DGAT1
922,GMPS
923,HDC
924,SLC4A2
925,DGKB
926,SPTLC1
927,ALOX12
928,SLC26A11
929,PANK3
930,SGPL1
931,GCDH
932,NUDT9
933,MVK
934,ACAT1
935,SLC35B2
936,FTCD
937,PIGC
938,RHAG
939,HS3ST5
940,CANT1
941,ECHS1
942,SLC27A1
943,GYG1
944,SLC35B4
945,COX4I2
946,ABCA1
947,SDHA
948,ACYP2
949,HCST
950,LPL
951,FASN
952,PLCG1
953,ADCY10
954,ST6GALNAC1
955,CHSY1
956,PFKM
957,PIK3CG
958,PRPS1
959,SLC13A4
960,AK2
961,CTSA
962,ACLY
963,C1GALT1
964,BBOX1
965,SLC27A3
966,ALG3
967,UGP2
968,EPX
969,GCSH
970,DPYS
971,PIK3R3
972,B3GALT5
973,SLC6A12
974,CLYBL
975,PDE11A
976,CTPS2
977,FADS2
978,CH25H
979,PLCZ1
980,TH
981,COX5A
982,COX7A2L
983,PNPO
984,SLC22A2
985,OAT
986,PIP5K1B
987,SLC7A2
988,SLC8A1
989,HSD17B4
990,ACSL3
991,NMNAT1
992,COX6A1
993,PRODH2
994,CHPF2
995,NUDT5
996,ST3GAL3
997,EXTL3
998,GAD1
999,AK5
1000,CYB5D1
1001,ATP6V0D2
1002,PKM
1003,CDS1
1004,ACADM
1005,AGPAT4
1006,PIGX
1007,ADCY1
1008,MGLL
1009,COMTD1
1010,ATP6V1G2
1011,FH
1012,ATP6V1G3
1013,NDUFB7
1014,SDHD
1015,DGKQ
1016,HADH
1017,NOS2
1018,GAA
1019,RDH8
1020,AOX1
1021,AGPAT3
1022,SLC3A1
1023,SLC24A3
1024,HS6ST2
1025,SLC20A1
1026,TM7SF2
1027,CA1
1028,UEVLD
1029,MTHFS
1030,PCBD1
1031,CHKB
1032,INPP5A
1033,ACAD9
1034,RRM2
1035,SLC16A10
1036,SLC2A2
1037,SLC2A8
1038,MTHFD1L
1039,GLS
1040,GMDS
1041,SLC17A1
1042,SLC23A2
1043,IP6K3
1044,AMACR
1045,CHDH
1046,ADHFE1
1047,ALOX12B
1048,PDE3B
1049,ME2
1050,ALOX15
1051,SLC25A18
1052,GNPAT
1053,ST6GALNAC5
1054,SLC18A2
1055,SLC43A1
1056,NDUFC1
1057,PLA2G1B
1058,TXNRD1
1059,SLC12A1
1060,DPAGT1
1061,GPX6
1062,GAPDH
1063,PDE4C
1064,PIK3R5
1065,DHCR7
1066,ALAD
1067,AADAC
1068,PPCS
1069,ALDH1L1
1070,HK2
1071,CDO1
1072,NT5C2
1073,MTR
1074,NOS3
1075,PDE8A
1076,SMPD3
1077,PLCL1
1078,SUV39H1
1079,SLC38A3
1080,SLC6A6
1081,SLC10A1
1082,CKB
1083,PIGO
1084,ATP2B3
1085,UQCR11
1086,LDHB
1087,MCAT
1088,PLCB1
1089,PLCE1
1090,SLC25A20
1091,NDUFA2
1092,ALG12
1093,RDH5
1094,SLC25A27
1095,SLC22A3
1096,NDUFA5
1097,ACAA1
1098,SLC7A11
1099,HSD17B7
1100,PFAS
1101,ABAT
1102,DAD1
1103,SLC26A8
1104,ALG1
1105,PIGB
1106,UGT1A10
1107,PRPS1L1
1108,ACACA
1109,SMS
1110,SRD5A2
1111,G6PD
1112,AHCYL1
1113,AANAT
1114,ALDH3B1
1115,SLC28A1
1116,IDS
1117,ATP6V0E1
1118,SLC4A8
1119,TDO2
1120,SLC6A9
1121,HMGCS1
1122,COQ7
1123,SLC2A5
1124,PDE6C
1125,HPRT1
1126,SLC2A7
1127,HNMT
1128,CHST1
1129,SLC23A1
1130,ATP6V0A1
1131,HS3ST3B1
1132,ST3GAL6
1133,CKM
1134,SLC24A1
1135,SLC19A3
1136,MAOB
1137,INPP4A
1138,IDH3G
1139,ECHDC2
1140,SLC6A13
1141,PAICS
1142,ENTPD6
1143,NDUFV1
1144,OPLAH
1145,PLCD4
1146,RPN2
1147,SLC16A2
1148,CMPK1
1149,RDH12
1150,DPM2
1151,SLC4A1
1152,DGKG
1153,NME3
1154,PLCB4
1155,ST3GAL5
1156,HS2ST1
1157,PLCH1
1158,DNMT1
1159,GALT
1160,PLCD1
1161,MANSC1
1162,COX6B1
1163,MAOA
1164,GMPPA
1165,SLCO1B3
1166,CHIT1
1167,CAD
1168,NDUFB10
1169,COQ3
1170,PIK3C2G
1171,PAFAH1B1
1172,SLCO2A1
1173,ENPP2
1174,TUSC3
1175,ADCY7
1176,SHMT2
1177,GLUL
1178,SPR
1179,SLC34A1
1180,PTDSS2
1181,DCXR
1182,DPYD
1183,ASPA
1184,B4GALT1
1185,MPO
1186,SLC12A2
1187,SLC5A9
1188,NOS1
1189,ABCC1
1190,SLC34A3
1191,SLC29A1
1192,HKDC1
1193,MAN1A2
1194,PIGM
1195,AMT
1196,KHK
1197,TREH
1198,BLVRB
1199,DGKI
1200,ATP6V1C1
1201,CHKA
1202,PTS
1203,ENTPD3
1204,SUOX
1205,PDE8B
1206,GALNT4
1207,PDE7A
1208,BCKDHA
1209,NADSYN1
1210,SLC7A9
1211,ATP6V1B1
1212,HS6ST1
1213,SRD5A1
1214,SLC7A1
1215,CYP4A11
1216,CA9
1217,SLC25A15
1218,NDUFA4
1219,IDH1
1220,NDUFS7
1221,SLC37A4
1222,GPT
1223,ALDH1B1
1224,OXCT1
1225,SLC9A2
1226,ACOX1
1227,GRHPR
