,0
827,Ugcg
828,Atp6v1c1
829,Acp2
830,Pde5a
831,Galk2
832,Tyr
833,Mansc1
834,Atp2b3
835,P4hb
836,Cyp7a1
837,Pank2
838,Slc7a2
839,Ptgs2
840,Pank1
841,Ech1
842,Itpkc
843,Ldhb
844,Pfkfb1
845,Hpd
846,Pgap1
847,Ndufv1
848,Xylt2
849,B3gat3
850,Prdx1
851,Pik3c2g
852,Aldob
853,Synj2
854,Pfkfb2
855,Idh1
856,Tyms
857,Pmm2
858,Impa1
859,Abcb4
860,Hs6st3
861,Ak2
862,Atp2b4
863,Hs6st2
864,Slc8a1
865,Setdb1
866,mt-Nd4
867,Mgst3
868,Gla
869,Slc10a1
870,Slc7a5
871,Pycr1
872,Cyp1b1
873,Cyp51
874,Slc35d2
875,Scp2
876,Mgat5
877,Pigm
878,Pigu
879,Slc7a9
880,Ddo
881,Nsdhl
882,Gmppb
883,Soat1
884,Dot1l
885,Etnppl
886,B3galt4
887,Dgke
888,Slc6a7
889,Hcst
890,B3gnt2
891,Tymp
892,Pigp
893,Guk1
894,Slc7a3
895,Slc1a2
896,Stard3
897,Ggt1
898,Txnrd1
899,Slc25a5
900,Gucy2e
901,Asl
902,Gfpt1
903,Slc5a6
904,Slc24a3
905,Slc5a9
906,Dguok
907,Aldh9a1
908,Coq2
909,Ndufa11
910,St6galnac1
911,Slc8a2
912,Pgk1
913,Plcd1
914,Dpysl2
915,Galnt2
916,Pnmt
917,Rrm2
918,Pde4a
919,Pik3cg
920,Xdh
921,Pcyt2
922,Lct
923,St6gal1
924,Slc38a3
925,Aco2
926,Bpnt1
927,Pcyt1b
928,Ndufb2
929,Upp1
930,Pck2
931,Echdc2
932,Dbh
933,Gck
934,Slco4a1
935,Slco1b2
936,Slc29a3
937,Gls
938,Hmgcl
939,Abcc3
940,Alox15
941,Cyp24a1
942,B4galnt1
943,St6galnac6
944,Pde11a
945,Hkdc1
946,Pik3r5
947,Slc28a2
948,Mlycd
949,Pigt
950,Gys2
951,Ppa1
952,Tpi1
953,Mpo
954,Chst12
955,Pde6h
956,Adk
957,Pla2g3
958,Pmm1
959,Ip6k2
960,Pygb
961,Abcc1
962,Suclg1
963,St3gal4
964,Dlat
965,Pigc
966,Trdmt1
967,Slc23a1
968,Asrgl1
969,Fech
970,Treh
971,Slc22a4
972,A4gnt
973,Hsd17b10
974,mt-Nd6
975,Rwdd2a
976,Slc5a8
977,Slc35a1
978,Adhfe1
979,Pigg
980,Cant1
981,Uevld
982,Pnpo
983,Atp1a1
984,Upp2
985,Car7
986,Aldh1l1
987,Gcnt3
988,Acy3
989,Aass
990,Slc6a8
991,Ndst4
992,Bckdha
993,Adh4
994,Ndufa7
995,Ctsa
996,Etnk1
997,Slc38a4
998,Ndufa4
999,Cyp2c55
1000,Chst4
1001,Dctd
1002,Galnt7
1003,Synj1
1004,Nos3
1005,Chdh
1006,Alg2
1007,Agpat4
1008,Setdb2
1009,Slc34a3
1010,Slc28a1
1011,Alg12
1012,Slc26a4
1013,Fah
1014,G6pc2
1015,Prodh
1016,Auh
1017,Impdh1
1018,Hadha
1019,Miox
1020,Dbt
1021,Atp1a4
1022,Pde6c
1023,Acss2
1024,Pkm
1025,Kmo
1026,Acox2
1027,Nudt9
1028,Hk2
1029,Chst1
1030,Slc17a5
1031,Xylt1
1032,Gls2
1033,mt-Nd1
1034,Atic
1035,Hdc
1036,Mtmr3
1037,Cpt2
1038,Bbox1
1039,Pld2
1040,Slc38a5
1041,Slc26a3
1042,Cmpk1
1043,Ldhd
1044,Slc1a5
1045,Plcb4
1046,Papss2
1047,Mdh1b
1048,Blvra
1049,Fasn
1050,Coasy
1051,Sc5d
1052,Slc16a8
1053,Plcl1
1054,Acsl1
1055,Psph
1056,Tst
1057,Nt5e
1058,Pik3r3
1059,Ppcdc
1060,Hsd17b2
1061,Haghl
1062,Sod1
1063,Gmppa
1064,Pigq
1065,Cyp4f13
1066,Akr7a5
1067,Uqcr11
1068,Me3
1069,Pde1a
1070,Acads
1071,Ucp2
1072,Idh3g
1073,Ptgs1
1074,Slc35d1
1075,Slc23a2
1076,Hao1
1077,Acsl5
1078,Hsd17b4
1079,Sardh
1080,Plcb3
1081,Sdhd
1082,Galk1
1083,Mvk
1084,Ocrl
1085,Ptges2
1086,Eno2
1087,B3gat2
1088,Pdxp
1089,Hmox1
1090,Bdh1
1091,Rdh5
1092,Dolpp1
1093,Renbp
1094,Hsd3b6
1095,Slc3a1
1096,Adcy5
1097,Inppl1
1098,St6galnac2
1099,Atp2b1
1100,Gstz1
1101,Csgalnact1
1102,Pde9a
1103,Pde2a
1104,Gcsh
1105,Fut9
1106,Dhfr
1107,Hsd11b1
1108,Sgpp1
1109,Alg3
1110,Adcy2
1111,mt-Co2
1112,mt-Nd3
1113,Ndufc1
1114,Neu1
1115,Cdipt
1116,Ppa2
1117,Suclg2
1118,Tktl2
1119,Gcat
1120,Atp6v1c2
1121,Ugt1a9
1122,Cmas
1123,Mat2b
1124,Nt5c3
1125,Dmgdh
1126,Gbgt1
1127,Echs1
1128,Phgdh
1129,Cox7a2l
1130,Sod2
1131,B3gnt5
1132,Nme6
1133,Gss
1134,Slc36a1
1135,Sds
1136,Slc4a3
1137,Uap1l1
1138,Dpm2
1139,Abcb11
1140,Hao2
1141,Slc12a1
1142,Gpt2
1143,Inpp5j
1144,Rrm1
1145,Slc24a1
1146,Fh1
1147,Alg1
1148,Gnpat
1149,B4gat1
1150,Aldh5a1
1151,Ckmt1
1152,Pik3cd
1153,Asah1
1154,Ext1
1155,Slc2a9
1156,Bpgm
1157,Hs2st1
1158,Slc12a2
1159,Pank3
1160,Gk2
1161,Pip4k2c
1162,Aldh6a1
1163,Inpp4a
1164,Acmsd
1165,Ch25h
1166,Agl
1167,Anpep
1168,Slc5a12
1169,Gpx6
1170,Etnk2
1171,Ids
1172,Gale
1173,Sptlc1
1174,Aldh3a1
1175,Pi4k2a
1176,Ip6k3
1177,Slc10a2
1178,Grhpr
1179,Pde1c
1180,Hk3
1181,Chsy3
1182,Pgs1
1183,Amd2
1184,Slc2a1
1185,Pigl
1186,Gmpr
1187,Slc7a7
1188,Slc16a1
1189,Has1
1190,Slc13a1
1191,Atp10a
1192,Pafah2
1193,Gnpda2
1194,Galnt6
1195,Gpam
1196,Tyrp1
1197,Hagh
1198,Slc16a3
1199,Cyp27a1
1200,Slc2a8
1201,Pdxk
1202,Prps2
1203,Slc4a5
1204,Gbe1
1205,Pnlip
1206,Btd
1207,Mgat4b
1208,Atp8a1
1209,Gclc
1210,Dao
1211,Ppcs
1212,Pigf
1213,Cpt1b
1214,Glud1
1215,Amacr
1216,Alpl
1217,Slc6a11
1218,Hexb
1219,Slc9a8
1220,Ak3
1221,Pipox
1222,Slc22a3
1223,Lss
1224,Gcnt2
1225,Hs3st5
1226,Dnmt1
1227,Ndst2
1228,Hk1
1229,Sult1e1
1230,Mthfs
1231,Ndufv2
1232,Aoc3
1233,Gucy2c
1234,Atp6v0d1
1235,Atp1b3
1236,Rpn1
1237,Car3
1238,Kmt2c
1239,Maob
1240,Abcc5
1241,Alas2
1242,Bcat2
1243,Slc26a2
1244,Galnt13
1245,Mtr
1246,Aldh1b1
1247,Crls1
1248,Coq3
1249,Eno1b
1250,Pgm1
1251,Slc14a2
1252,Aoc2
1253,Gda
1254,Cdo1
1255,Gad1
1256,Ppat
1257,Enpp1
1258,Pde3a
1259,Bckdhb
1260,Slc26a8
1261,Tktl1
1262,St6galnac5
1263,Nudt2
1264,Tbxas1
1265,Ldhal6b
1266,Nt5c
1267,Nagk
1268,St8sia5
1269,Slc25a14
1270,Slc1a3
1271,Slc6a9
1272,Chka
1273,Duox1
1274,Atp1b1
1275,Hmgcll1
1276,Glb1
1277,Tkt
1278,Kynu
1279,Cyp4f15
1280,Etfa
1281,Eno3
1282,Gldc
1283,Uqcrc2
1284,Dgkd
1285,Tat
1286,Slc43a1
1287,Tusc3
1288,Slc4a8
1289,Slc29a1
1290,Dnmt3b
1291,Hs3st4
1292,Entpd5
1293,Ndst1
1294,Pgam2
1295,Tk1
1296,Atp6v1e1
1297,Xylb
1298,Mvd
1299,Arg1
1300,Pdhb
1301,Phospho1
1302,Dad1
1303,Ndufs4
1304,Gcnt4
1305,Slc34a1
1306,Galnt12
1307,Pfas
1308,Slc7a10
1309,Car4
