,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
GDF9_ACVR1B_BMPR2,GDF9_ACVR1B_BMPR2,GDF,GDF9,ACVR1B_BMPR2,,,,,KEGG: hsa04350,Secreted Signaling,GDF9 - (ACVR1B+BMPR2)
GDF10_ACVR1B_ACVR2A,GDF10_ACVR1B_ACVR2A,GDF,GDF10,ACVR1B_ACVR2A,,,,,KEGG: hsa04350,Secreted Signaling,GDF10 - (ACVR1B+ACVR2A)
GDF11_TGFBR1_ACVR2A,GDF11_TGFBR1_ACVR2A,GDF,GDF11,TGFBR1_ACVR2A,,,,,KEGG: hsa04350,Secreted Signaling,GDF11 - (TGFBR1+ACVR2A)
GDF11_TGFBR1_ACVR2B,GDF11_TGFBR1_ACVR2B,GDF,GDF11,TGFBR1_ACVR2B,,,,,KEGG: hsa04350,Secreted Signaling,GDF11 - (TGFBR1+ACVR2B)
GDF11_ACVR1B_ACVR2B,GDF11_ACVR1B_ACVR2B,GDF,GDF11,ACVR1B_ACVR2B,,,,,KEGG: hsa04350,Secreted Signaling,GDF11 - (ACVR1B+ACVR2B)
GDF15_TGFBR2,GDF15_TGFBR2,GDF,GDF15,TGFBR2,,,,,KEGG: hsa04350,Secreted Signaling,GDF15 - TGFBR2
MSTN_TGFBR1_ACVR2B,MSTN_TGFBR1_ACVR2B,MSTN,MSTN,TGFBR1_ACVR2B,,,,,KEGG: hsa04060,Secreted Signaling,MSTN - (TGFBR1+ACVR2B)
MSTN_ACVR1B_ACVR2B,MSTN_ACVR1B_ACVR2B,MSTN,MSTN,ACVR1B_ACVR2B,,,,,KEGG: hsa04060,Secreted Signaling,MSTN - (ACVR1B+ACVR2B)
MSTN_ACVR1B_ACVR2A,MSTN_ACVR1B_ACVR2A,MSTN,MSTN,ACVR1B_ACVR2A,,,,,KEGG: hsa04060,Secreted Signaling,MSTN - (ACVR1B+ACVR2A)
MSTN_TGFBR1_ACVR2A,MSTN_TGFBR1_ACVR2A,MSTN,MSTN,TGFBR1_ACVR2A,,,,,KEGG: hsa04060,Secreted Signaling,MSTN - (TGFBR1+ACVR2A)
AMH_AMHR2_ACVR1,AMH_AMHR2_ACVR1,AMH,AMH,AMHR2_ACVR1,,,,,KEGG: hsa04060,Secreted Signaling,AMH - (AMHR2+ACVR1)
AMH_AMHR2_BMPR1A,AMH_AMHR2_BMPR1A,AMH,AMH,AMHR2_BMPR1A,,,,,KEGG: hsa04060,Secreted Signaling,AMH - (AMHR2+BMPR1A)
GDNF_GFRA1,GDNF_GFRA1,GDNF,GDNF,GFRA1_RET,,,,,PMID: 11544105,Secreted Signaling,GDNF - GFRA1
NRTN_GFRA2,NRTN_GFRA2,GDNF,NRTN,GFRA2_RET,,,,,PMID: 11544106,Secreted Signaling,NRTN - GFRA2
ARTN_GFRA3,ARTN_GFRA3,GDNF,ARTN,GFRA3_RET,,,,,PMID: 11544107,Secreted Signaling,ARTN - GFRA3
PSPN_GFRA4,PSPN_GFRA4,GDNF,PSPN,GFRA4_RET,,,,,PMID: 11544108,Secreted Signaling,PSPN - GFRA4
ARTN_GFRA1,ARTN_GFRA1,GDNF,ARTN,GFRA1_RET,,,,,PMID: 11544109,Secreted Signaling,ARTN - GFRA1
